author,author_id
Matt Waters,1
Peter Richardson,2
James Curtis,3
Krystal Sutherland,4
Avi Loeb,5
Ethan Hawke,6
Michael Collins,7
Christina Henry,8
A. Bryant,9
Tom Nichols,10
Philip D'Anieri,11
Dan Ozzi,12
Gabriel García Márquez,13
Halldor Laxness,14
Peter Heller,15
Charles Yu,16
Jim Butcher,17
Marilyn Sadler,18
Traci Chee,19
Ally Condie,20
Laura Childs,21
Thom Pico,22
Stephanie Marie Thornton,23
Peter Lovesey,24
Irene Latham,25
Karim Shamsi-Basha,26
Aaron Blabey,27
Margaret Stohl,28
Melissa de la Cruz,29
Mark Millar,30
Alok Vaid-Menon,31
Matthew Quirk,32
Deborah Underwood,33
Roger Tory Peterson,34
Lindsay McKenna,35
Lori Benton,36
Lori Alexander,37
Thomas Gryta,38
Ted Mann,39
Edward Hirsch,40
Kate Messner,41
Lidia Pradas,42
Michael O'Donnell,43
Richard Cordray,44
S. E. Hinton,45
Rhiannon Navin,46
Rachel Maddow,47
Kwame Alexander,48
R. J. Palacio,49
Madeleine Roux,50
Gore Vidal,51
Sanaya Roman,52
James Sallis,53
Judith Hillman Paterson,54
Dee Brestin,55
Karen Russell,56
Penny Joelson,57
Elizabeth R. Varon,58
Michael J. Kral,59
Colson Whitehead,60
Edgar Cantero,61
Robert Harris,62
Jane Corry,63
Tim Tebow,64
A. J. Gregory,65
Tom Feelings,66
Jennifer A. Nielsen,67
Jim Williams,68
Tad Hills,69
Farley Mowat,70
Wallace Stegner,71
Zetta Elliott,72
Samantha Young,73
Peter William Atkins,74
Julio De Paula,75
James Keeler,76
Colin Gordon Calloway,77
Ray Didinger,78
Robert S. Lyons,79
Laura Albritton & Jerry Wilkinson,80
Elaine N. Marieb,81
Katja N. Hoehn,82
Kathy Krevat,83
Mem Fox,84
Cindy Woodsmall,85
A. J. Baime,86
Carolina De Robertis,87
Henry Louis Gates (Jr.),88
Bobbi Kates,89
Philip Freeman,90
Cara Familian Natterson,91
Blake Crouch,92
Stephen Anthony Smith,93
Klaus Schwab,94
Hannah Lillith Assadi,95
Sean Danker,96
Joyce J. Penner,97
Clifford Penner,98
Laurie Friedman,99
W. Seth Carus,100
National Defense University (U S ),101
National Defense University. Center for the Study of Weapons of Mass Destruction,102
Matthew Clark Smith,103
"Gorman, Michael",104
Christian Harder,105
Clint Brown,106
Christine Feehan,107
Joby Warrick,108
Nora Roberts,109
Bronwen Dickey,110
Sherry M. Thomas,111
Al Perkins,112
Jeri Hanel Watts,113
Elizabeth Brundage,114
Franklin W. Dixon,115
Amanda Flower,116
Mildred D. Taylor,117
Madeleine L'Engle,118
Marc Harshman,119
Jody Hedlund,120
Aprilynne Pike,121
Julia Donaldson,122
Firdawsī,123
Thielicke,124
H. W. Brands,125
Merrick Rosenberg,126
Yoko Nogiri,127
Meagn Derr,128
Diane Rehm,129
Gary R. Howard,130
Jerry Bridges,131
Ron Chernow,132
Kristin Donnelly,133
Franz Kafka,134
Joseph E. Stiglitz,135
Porter,136
Steve Light,137
Scarlett Wing,138
Roger Penrose,139
Spencer Jakab,140
Jane Austen,141
William Shakespeare,142
Kevin Meyers,143
Haily Meyers,144
Harvey Karp,145
Marie-Helene Bertino,146
Tom Cooper,147
Jamie Holmes,148
Terry Brooks,149
Don Freeman,150
Golden Books,151
Peter Warren Singer,152
August Cole,153
Robin Williams,154
Jason Segel,155
Kirsten Miller,156
Joseph O'Neill,157
Edwidge Danticat,158
Martin Walker,159
Ron Rhodes,160
Michael R. Lindeburg,161
Margaret Wise Brown,162
Robyn M. Feller,163
Laura Lifshitz,164
Janet B. Pascal,165
Who HQ,166
Michael A. Singer,167
Michael Northrop,168
Sharon M. Draper,169
Wil Haygood,170
Kirstin Downey,171
Rainer Metzger,172
Ingo F. Walther,173
Walter D. Edmonds,174
Dana Meachen Rau,175
Donna Freitas,176
Jan Brett,177
Thomas Sugrue,178
Thomas Mann,179
Nancy Cain,180
Peter Bebergal,181
Charles Fried,182
Stephen M. Silverman,183
Raphael D. Silver,184
Jean Taft,185
American Heart Association,186
Allan M. Siegal,187
William G. Connolly,188
Jane Werner Watson,189
Geoff Edgers,190
Carlene Hempel,191
Thomas S. Kidd,192
Barry Hankins,193
Barbara Kramer,194
Teal Swan,195
Robert Alan Segal,196
Jim Gigliotti,197
Adam D. Galinsky,198
Maurice Schweitzer,199
Chris Baldick,200
Steve R. Hemler,201
Alan Moore,202
George R. R. Martin,203
Jacqueline Winspear,204
Umberto Eco,205
Terry Pratchett,206
Jenny Han,207
Megan Miranda,208
Jeffery Deaver,209
Kent Haruf,210
Dav Pilkey,211
George Beard,212
Harold Hutchins,213
Alona Frankel,214
Molly O'Keefe,215
Shaun Tan,216
Anya Seton,217
James Thurber,218
Faith Hunter,219
Joan Johnston,220
Anne Cleeland,221
Kaui Hart Hemmings,222
Steve Jenkins,223
L. M. Montgomery,224
Misty Copeland,225
Joetta Handrich Schlabach,226
Lea Carpenter,227
Robert Ludlum,228
Shaunti Feldhahn,229
Adrian Raine,230
Ward Just,231
Benjamin Franklin,232
Adeline Catherine Anderson,233
Duffy Brown,234
Jennifer Clement,235
Walter J. Ciszek,236
Daniel L. Flaherty,237
Donald K. McKim,238
Loren Long,239
Laura Adams Armer,240
G. Brian Karas,241
Nicole Lea Helget,242
Pat Mora,243
Libby Martinez,244
Richard Olney,245
Anaïs Nin,246
J. Mack Stiles,247
Joshua P. Warren,248
Russell Hoban,249
Suzanne Hadley Gosselin,250
Danielle LaPorte,251
Kathy Willis,252
Jennifer McElwain,253
Paul Woodruff,254
Betty S. Flowers,255
Edna Ferber,256
Brenda Jackson,257
True Kelley,258
Carolyne Larrington,259
Peter Dickinson,260
Karen Wiesner,261
Joseph O'Connor,262
T. J. Bass,263
Bonnie Bader,264
Laura Morrigan,265
Scott Hahn,266
Vincent J. Monastra,267
Chantal Sicile-Kira,268
John Baylis,269
Steve Smith,270
Patricia Owens,271
Derek Tangye,272
Leslie Patricelli,273
Random House,274
Michael L. Brown,275
Art Baltazar,276
Franco Aureliani,277
Manuel Velasquez,278
John Updike,279
Michael Uslan,280
Jay M. Feinman,281
