publisher_id,name
1,010 Publishers
2,10 Button Sound
3,10-18
4,1st Book Library
5,1st World Publishing
6,21st Century Books
7,30 Days with a Great Spiritual Teacher Series
8,47North
9,51495
10,7th Press
11,9 Screens International
12,A & C Black
13,A Hedonist's guide to...
14,A I T Planet Lar
15,A J Christopher & Company
16,A Prince of Wales Mystery
17,A Thomas Dunne Book for St. Martin's Griffin
18,A&C Black
19,A&amp;C Black
20,"A. A. World Services, Inc."
21,A.M. Madden
22,A.W. Bruna Uitgevers
23,ABC-CLIO
24,ABDO
25,ABDO Publishing Company
26,ABRAMS
27,ACE BOOKS
28,ACP Press
29,AFDP Publishing
30,AFI International Publishers
31,AIAA
32,AK Press
33,AMACOM
34,AMACOM/American Management Association
35,AMS Press
36,AP Professional
37,APA Life Tools
38,ARE Press
39,ASCD
40,ASDavis Media Group
41,ASM International
42,Aakar Books
43,Aatec Publications
44,Abacus
45,Abacus (UK)
46,Abacus Software
47,Abaddon Books
48,Abc-Clio Incorporated
49,Abdul Press
50,Abhinav Publications
51,Abidenme Books Publishing
52,Abingdon Press
53,Abiogenesis Press
54,Aboriginal Studies Press
55,Abradale Press
56,Abradale/Abrams
57,Abrams
58,Abrams Image
59,Academic Learning Company LLC
60,Academic Press
61,Academy Chicago Pub
62,"Academy Chicago Publishers, Limited"
63,Academy Press
64,Academy Saga
65,Academy of Nutrition and Dietetics
66,Academy of the Immaculate
67,Acanthus Pub
68,Accent Press
69,Accent Press Ltd
70,"Accord Publishing, a division of Andrews McMeel"
71,Ace
72,Ace Books
73,Ace Hardcover
74,Ace Trade
75,Action Pursuit Group
76,Ad Lib Publishers Ltd
77,Adams Media
78,Addax Publishing Group Incorporated
79,Addicus Books
80,Addison Wesley
81,Addison Wesley Longman
82,Addison Wesley Publishing Company
83,Addison-Wesley
84,Addison-Wesley Educational Publishers
85,Addison-Wesley Professional
86,Adelphi Edizioni spa
87,Adler Publishing
88,Adobe Press
89,Adv Manga
90,"Advaita Ashrama (A publication branch of Ramakrishna Math, Belur Math)"
91,Advances in Community Psycholo
92,Advantage Media Group
93,Adventure Press
94,Adventure Publications
95,Adventurekeen
96,Adventurelore Press
97,Adventures Unlimited Press
98,Adventures of Tintin
99,Advocate Books
100,Aegis Consulting Group
101,Aegitas
102,Aeon Pub Incorporated
103,Aeonian Press
104,Aequus Institute Publications
105,Aerial
106,Aerie
107,Aeterna Press
108,Aethna PressInc
109,Affirm Press
110,Africa  - autobiography
111,Africa Research and Publications
112,African Amer Images
113,Agate Publishing
114,Ahmadiyya Anjuman Ishaat
115,Airlife Pub Limited
116,Akashic Books
117,Al Saqi
118,Aladdin
119,Aladdin Paperbacks
120,Alan Sutton Publishing
121,Alaska Northwest Books
122,Albert Whitman
123,Albert Whitman & Company
124,Albert Whitman Prairie Books (
125,Albury Pub
126,Alcoholics Anonymous World Services
127,Alex Graham Bell Assn for Deaf
128,Alexander (Hardcover)
129,Alfred A. Knopf
130,Alfred A. Knopf Books for Young Readers
131,Alfred Music
132,Alfred Music Publishing
133,Alfred a Knopf Incorporated
134,Algonquin Books
135,Algonquin Young Readers
136,Algora Publishing
137,Alibi
138,Alice Hoffman
139,Alkemara Press
140,All Points Books
141,Allan Cole
142,Allan Lane
143,Allen & Unwin
144,Allen & Unwin Academic
145,Allen & Unwin Australia
146,Allen Lane
147,Allison & Busby
148,Alltrista Consumer Products
149,Allyn & Bacon
150,Alma Books
151,Alpha Books
152,Alpha Edition
153,Alpha Science Int'l Ltd.
154,Althea Press
155,Alyson Books
156,Alyson Publications
157,Am Press
158,Amacom Books
159,Amadeus
160,Amadeus Press
161,Amagi Books
162,Amana Corporation
163,Amazing Facts Incorporated
164,Amazon Publishing
165,Amazonencore
166,Ambassador International
167,Ambassador-Emerald International
168,Amber Books Publishing
169,Amber House Books
170,Amber-Allen Publishing
171,Amberley Publishing Limited
172,Ambo|Anthos
173,Amer Alpine Club
174,Amer Bible Society
175,Amer Cancer Society
176,Amer Chemical Society
177,Amer Girl
178,Amer Girl Pub
179,Amer Map Corporation
180,Amer Psychiatric Pub Incorporated
181,Amer Psychological Assn
182,Amereon Limited
183,America Star Books
184,America's Test Kitchen
185,American Automobile Association
186,American Bar Association
187,American Bible Society
188,American Education Publishing
189,American Federation of Astr
190,American Girl
191,American Girl Publishing Incorporated
192,American Library Association
193,American Mathematical Soc.
194,American Mystery Classics
195,American Philosophical Society
196,American Psychiatric Pub
197,American Revolutionary War
198,American Society of Missiology
199,American Univ in Cairo Press
200,American Vision
201,Amg Pubs
202,Amherst : University of Massachusetts Press
203,Amherst Media
204,"Amherst Media, Inc"
205,"Amigo Publications, Inc."
206,Amish of Summer Grove
207,Amistad
208,Ammo Books
209,Amok Books
210,"Ampersand, Incorporated"
211,Amphoto Books
212,Ams PressInc
213,Amulet Books
214,Anagrama
215,Anchor
216,Anchor Bible
217,Anchor Bible Reference Library
218,Anchor Books
219,Anchor Canada
220,Anchorage : Alaska Northwest Books
221,"Anchorage, Alaska : Earthpulse Press"
222,Andersen Press (UK)
223,Andersen Press Limited
224,Andersen Press USA
225,Andersen PressLtd
226,Andesite Press
227,Andre Deutsch Limited
228,Andrew McDermott
229,Andrews McMeel Pub
230,Andrews McMeel Publishing
231,"Andrews McMeel Publishing, LLC"
232,Andrews Mcmeel+ORM
233,Andrews UK Limited
234,Andy Tomlinson
235,Aneko Press
236,Angus & Robertson
237,"Anita Blake, Vampire Hunter"
238,Annapolis : U.S. Naval Institute
239,"Annapolis, Md. : Naval Institute Press"
240,Anne Schwartz Books
241,Anne Stuart
242,Annick Press
243,Anova Books
244,Answers in Genesis
245,Antarctic Press
246,Anthem Press
247,"Anthropology, Culture and Society"
248,Antique Collectors Club Dist
249,Antique Trader
250,Antoinette Stockenberg
251,Aops Incorporated
252,Aphrodisia
253,Apocryphile Press
254,Apollo
255,Apologetics Press Inc.
256,Apologetics PressInc
257,Appetite by Random House
258,Applause Books
259,Applause Theatre & Cinema
260,Apple
261,Apple Paperbacks
262,Applesauce Press
263,Applewood Books
264,Apress
265,April Kihlstrom
266,Aqua Quest Publication
267,"Aqua Quest Publications, Inc."
268,Arbor House Publishing Company
269,Arc Manor LLC
270,Arcade
271,Arcade Publishing
272,Arcadia Publishing
273,Arcata Arts
274,Arch Books
275,Archie Comic
276,Archie Comic Publications (Trade)
277,Archipelago
278,Archway Publishing
279,Arco
280,Arcturus Publishing
281,Ardent Media
282,Argo Navis
283,Aries Productions (Thailand)
284,Arkham House Pub
285,Arrow
286,Arrow/Children's (a Division of Random House Group)
287,Arsenal Pulp PressLtd
288,Arte Publico Press
289,Artech House
290,Artech House Computing Library
291,Artech House Publishers
292,Artech House Technology Manage
293,Arthur A. Levine Books
294,Arthur Herzog III
295,Arthur a Levine
296,Artisan
297,Artisan Books
298,Artisan Publishers
299,Artrum Media
300,Ascension Press
301,Ash Tree Pub
302,"Ashgate Publishing, Ltd."
303,"Ashleywilde, Inc."
304,Ask Productions Incorporated
305,Aspect
306,Aspen Pub
307,Asq Press
308,Associated University Presse
309,Asterix
310,Astor + Blue Editions Llc
311,Astra Publishing House
312,Asymmetrical Press
313,Athena Pub
314,Atheneum
315,Atheneum Books
316,Atheneum Books for Young Readers
317,Atheneum/Anne Schwartz Books
318,Atheneum/Richard Jackson Books
319,Atlantic Books
320,Atlantic Books (UK)
321,Atlantic Books Ltd
322,Atlantic Monthly Press
323,Atlantic Publishers & Dist
324,Atlantic Publishing Company
325,Atlas Press
326,Atlas Press (GB)
327,Atlas Press LLC
328,Atom
329,Atria Books
330,Atria Books/Beyond Words
331,Atria/Emily Bestler Books
332,Aubrey House Pub
333,Auckland University Press
334,Augsburg Books
335,Augsburg Fortress Pub
336,Augsburg Fortress Publishers
337,Augsburg Fortress Publishing
338,Aunt Lute Books
339,Aurum
340,Aurum Press Limited
341,Aurum PressLtd
342,Austin : University of Texas Press
343,Austin : published for the American Folklore Society by the University of Texas Press
344,Authentic Media Inc
345,Authentic UK
346,Author House
347,Author's Choice Publishing
348,AuthorHouse
349,Authors Choice Press
350,Autonomedia
351,Autumn Hill Books
352,Autumn House Publishing
353,Avalon
354,Avalon Travel
355,Avalon Travel Pub
356,Avalon Travel Publishing
357,Avatar Press
358,Avatar PressInc
359,Avatar Publications
360,Ave Maria Press
361,Avenel
362,Avery
363,Aviation Supplies & Academics
364,Avid Reader Press / Simon & Schuster
365,Avon
366,Avon Books
367,Axios Press
368,Ayer Company Pub
369,Azimuth Editions
370,B & D Books
371,B & H Books
372,B & H Publishing Group
373,B Jain Pub Pvt Limited
374,B T Batsford Limited
375,B W D Press
376,B&H Academic
377,B&H Books
378,B&H Espanol
379,B&H Publishing Group
380,B. F. Skinner Foundation
381,B. Jain Publishers
382,B.E.S. Publishing
383,BAAE Publishing
384,BBC Books
385,BBSG Publishing
386,BEYOND BOOKS HUB
387,BJU Press
388,"BOA Editions, Ltd."
389,BRILL
390,BRUCE BOWMAN
391,BWrite
392,Babelcube Inc.
393,Baby Beginner Board Books
394,Bacchus Press Ltd.
395,Back Bay Books
396,Back Stage Books
397,Backbeat Books
398,Backinprint.Com
399,Backinprint.com
400,"Backlist, LLC - a unit of Chicken Soup of the Soul Publishing LLC"
401,Baen
402,Baen Books
403,Baen Publishing Enterprises
404,Baha'i Publishing Trust
405,Baker Academic
406,Baker Books
407,Baker Publishing Group
408,Balance
409,Balboa Press
410,Ballantine
411,Ballantine Books
412,Ballantine Group
413,Ballantine Reader's Circle
414,"Baltimore, Md. : Genealogical Publishing Company"
415,Bamboo Books Incorporated
416,Banner of Truth
417,Bantam
418,Bantam Books
419,Bantam Classics
420,Bantam Dell Publishing Group
421,Bantam Doubleday Dell Publishing Group Incorporated
422,Bantam Press
423,Barbara Cartland Ebooks Ltd
424,Barbour Pub Incorporated
425,Barbour Publishing
426,Barclay Books (FL)
427,Barefoot Books
428,Barefoot Ministries
429,Barnes & Noble
430,Barnes & Noble Incorporated
431,Barnes & Noble Publishing
432,Barricade Books Incorporated
433,Barron's Educational Series
434,"Barron's Educational Series, Incorporated"
435,Barrons Educational Series
436,Barrons Educational Series Incorporated
437,Barrons Juveniles
438,Barry Hughes
439,Barrytown/ Station Hill Press
440,Basic Books
441,Basic Books (AZ)
442,Batsford
443,Bay Books (CA)
444,Bayeux Arts Incorporated
445,Bbc Books
446,Bbc Publications
447,Bbs Publishing Corporation
448,Be Series Commentary
449,Beacon Hill Press
450,Beacon Press
451,Beacon Press (MA)
452,Bear
453,Bedford/St. Martin's
454,Bedford/st Martins
455,Beeler Large Print Books
456,Beginner's Bible
457,Behrman House Publishing
458,"Behrman House, Inc"
459,Beignet Books
460,Belgariad
461,Belgrave House
462,Belknap Press
463,Bell
464,Bell Bridge Books
465,Bella Books
466,BelleBooks
467,"Bellingham, WA ; North Vancouver, B.C. : Self-Counsel Press"
468,Ben F Small
469,BenBella Books
470,"BenBella Books, Inc."
471,Benediction Classics
472,Benjamin-Cummings Publishing Company
473,Bennett Street Books
474,Bent Crow Press
475,Bentley Pub
476,Berg
477,Berghahn Books
478,Berklee Press
479,Berklee PressPublications
480,Berkley
481,Berkley Books
482,Berkley Hardcover
483,Berkley Publishing Group
484,Berkley Trade
485,Bernstein Books
486,Berrett-Koehler
487,Berrett-Koehler Pub
488,Berrett-Koehler Publishers
489,Bess Press
490,Best Day Books For Young Readers
491,Bethany House
492,Bethany House Pub
493,Bethany House Publishers
494,Bethlehem Books
495,Better Homes & Gardens Books
496,Betterway Books
497,Betty Crocker
498,Beyond Words Publishing
499,Beyond Words Publishing Company
500,Beyond Words/Atria Books
501,"Bezige Bij b.v., Uitgeverij De"
502,Bible Study Steps
503,Bible Temple Publications
504,Biblioasis
505,Bibliotech Press
