faiss_index,book_id,book_title
0,1,Cyrus the Great
1,2,SAVAGE JOURNEY
2,3,Keaton
3,4,THE HOLLOW HOUSE
4,5,BACK PAGE-The SmartUniverse Revealed
5,6,Set In Darkness (SIGNED)
6,7,The Keepers Of Truth
7,8,Horseman
8,9,Mostly Mayhem (Zebra Historical Romance)
9,10,Our Own Worst Enemy
10,11,The Appalachian Trail
11,12,Selling Out
12,13,"Love, time & butter;: The broiling, roasting, baking, deep-fat frying, sauteing, braising, and boiling cook book"
13,14,The Rebel's Return (Lone Star Country Club (Unnumbered))
14,15,Independent People: An Epic
15,16,The River
16,17,Chinatown
17,18,The battle-ground
18,19,It's Not Easy Being a Bunny (Beginner Books(R))
19,20,Decorate Your Doors
20,21,MR.BROWN/FOOT BK-PKG (Bright and Early Books and Read-Along Cassette Library)
21,22,Not A Free Show
22,23,Last Voyage
23,24,Blue Murder
24,25,French Aster Birthday Book
25,26,Called & Committed : World-Changing Discipleship
26,27,Bertie and the Tinman
27,28,Cat Man
28,29,I Need a Hug
29,30,Laurie
30,31,Ultimate X-Men Vol. 6: Return of The King
31,32,Binary
32,33,The Assassin
33,34,"Ultimate X-Men: Ultimate Collection, Vol. 1"
34,35,Outside In
35,36,Hawks of North America (Roger Tory Peterson Field Guides)
36,37,Outside In (#331)
37,38,Silver Creek
38,39,mountain laurel
39,40,Sporting Chance
40,41,Lights out
41,42,Stranger By Night
42,43,The Smashers
43,44,Grimoire
44,45,Turning Green Wood
45,46,Watchdog
46,47,Outsiders
47,48,CliffsNotes on Hinton's The Outsiders
48,49,The Outsiders (SparkNotes Literature Guide)
49,50,An only child
50,51,Blowout (Library Edition)
51,52,The Undefeated
52,53,White Bird
53,54,Salvaged
54,55,Myra Breckinridge
55,56,Personal Power!
56,57,Personal Power Through Awareness: A Guidebook for Sensitive People (Book II of the Earth Life Series)
57,58,The Long-Legged Fly
58,59,Sweet Mystery: A Book of Remembering
59,60,Surprises in the Bible
60,61,And Other Stories
61,62,No Secrets
62,63,Elizabeth's army (Oxford historical series)
63,64,Diatriba de amor contra un hombre sentado: Monologo en un acto (Teatro colombiano) (Spanish Edition)
64,65,Return to Suicide
65,66,The New Underground Railroad
66,67,Meddling Kids
67,68,Munich & The Bavarian Alps (Eyewitness Travel Guides)
68,69,Blood Sisters
69,70,Shaken & Stirred
70,71,The Middle Passage: White Ships/ Black Cargo
71,72,Shaken
72,73,Resistance
73,74,"The Middle Passage: White Ships, Black Cargo"
74,75,Irina's Story
75,76,"Duck, Duck, Goose?"
76,77,The boat who wouldn't float
77,78,"Joe Hill, a biographical novel"
78,79,The bag
79,80,Fight or Flight
80,81,Atkins' Physical Chemistry
81,82,George Washington (American Lives: Presidents)
82,83,The Eagles Encyclopedia
83,84,"Hidden Florida Keys & Everglades (Hidden Florida Keys & Everglades, 6th ed)"
84,85,Human Anatomy & Physiology in Health and Disease
85,86,Charlie the Chicken (Polish Edition)
86,87,When I Was Young In The Mountains (Turtleback School & Library Binding Edition) (Reading Rainbow Books (Pb))
87,88,The Threads & Crafts book of Ribbon Embroidery and Stumpwork (Threads & Crafts)
88,89,Harry S. Truman
89,90,Dissent in Dangerous Times
90,91,100 Amazing Facts About the Negro
91,92,"We're Different, We're the Same"
92,93,Do You Know Colors? (Pictureback(R))
93,94,Celtic Goddess (P)
94,95,GUYS & DOLLS: THE STORIES OF DAMON RUNYON
95,96,Fiction
96,97,RUSSIA IN REVOLUTION
97,98,20th Century Revolutions in Technology
98,99,"3 Sides of You: Unlocking the Way You Think, Work, and Love; The Premier Tool for Personal Development from the Internet Leader in Self-perception Profiling and Analysis"
99,100,Sonora
100,101,Free Space
101,102,Pleasures of Women
102,103,Merry's Christmas
103,104,Prehistoric Germ Warfare
104,105,Lighter Than Air
105,106,Apostle of the Crucified Lord: A Theological Introduction to Paul and His Letters
106,107,Using ArcMap
107,108,Shadow Rider
108,109,The Headmistress (Isis General Fiction)
109,110,"Morrigan's Cross (The Circle Trilogy, Book 1)"
110,111,Pit Bull
111,112,Stories of Scarlet Women
112,113,The Book of the Hand
113,114,A Piece of Home
114,115,Seen and heard in India
115,116,"The Tower Treasure (The Hardy Boys, No. 1)"
116,117,"The Tower Treasure (Hardy Boys, Book 1)"
117,118,Prose and Cons
118,119,The Road to Memphis
119,120,Walking on Water : Reflections on Faith and Art
120,121,Big Family
121,122,Polly
122,123,"The House on the Cliff (Hardy Boys, Book 2)"
123,124,Glitter & Greed: The Secret World of the Diamond Cartel
124,125,Monkeypuzzle
125,126,Monkey Puzzle
126,127,Shahnameh: The Persian Book of Kings
127,128,"The Missing Chums (Hardy Boys, Book 4)"
128,129,A Little Exercise for Young Theologians
129,130,Ronald Reagan: A Life In Politics
130,131,Chameleon
131,132,Wolf Boy: A Novel
132,133,Dark Dance
133,134,On My Own
134,135,"We Can't Teach What We Don't Know: White Teachers, Multiracial Schools (Multicultural Education Series)"
135,136,Walking In Humility
136,137,The Warburgs: The story of a family
137,138,Potluck
138,139,The Metamorphosis (Norton Critical Editions)
139,140,The Big Divide
140,141,Paul's life and letters
141,142,Swap
142,143,Kids' Songs Soundbook
143,144,"The Emporor's New Mind: Concerning Computers, Minds, and the Laws of Physics"
144,145,"Heads, I win"
145,146,Pride and Prejudice: An Authoritative Text Backgrounds and Sources Criticism (Norton Critical Editions)
146,147,"Macbeth (Shakespeare, Pelican)"
147,148,All Aboard!
148,149,The Happiest Baby on the Block: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer
149,150,The Happy Baby Book
150,151,The Cat's Pajamas & Other Stories
151,152,The Marauders
152,153,Nonsense!
153,154,The Wishsong of Shannara
154,155,The Sword of Shannara/The Elfstones of Shannara/The Wishsong of Shannara
155,156,A Pocket for Corduroy
156,157,The Little Red Hen
157,158,The Little Red Hen (Little Golden Books)
158,159,Articles of War: A Novel
159,160,Design & Make Curtains & Drapes
160,161,The Non-Designer's Type Book
161,162,The Non-Designer's Design Book: Design and Typographic Principles for the Visual Novice
162,163,Nightmares
163,164,The dog
164,165,Krik? Krak!
165,166,The Patriarch
166,167,"The Complete Guide to Christian Denominations: Understanding the History, Beliefs, and Differences"
167,168,Key of Knowledge (Key Trilogy 2)
168,169,Key of Knowledge
169,170,Civil Engineering Reference Manual for the Pe Exam (Engineering Reference Manual Series)
170,171,Home for a bunny (A Golden book)
171,172,The Complete Bartender
172,173,The Great Depression
173,174,Surrender to God Within: Pathwork at the Soul Level (Pathwork Series)
174,175,The Book of the Dead
175,176,Starlight
176,177,Showdown
177,178,"The Others 1492: Ferdinand, Isabella, and the Making of an Empire"
178,179,The Complete Van Gogh
179,180,Dark Blood
180,181,Drums Along the Mohawk
181,182,Isabella
182,183,Showdown!
183,184,HARRIET
184,185,"My Sex, My Soul"
185,186,Harriet & Octavia
186,187,The Turnip
187,188,There is a river: The story of Edgar Cayce
188,189,The Oxford Guide to Library Research
189,190,Against the Grain
190,191,Electrical Engineering: FE Exam preparation
191,192,Seasons of the Witch Weekly 2005
192,193,Contract as Promise
193,194,The Catskills
194,195,Worm & the Toffee Nosed Princess (Story Books)
195,196,"The American Heart Association Low-Fat, Low-Cholesterol Cookbook"
196,197,Stylebook: A Usage Guide for Writers and Editors
197,198,The fuzzy duckling (First little golden book)
198,199,Julia Child & Company
199,200,A history of the Baptists
200,201,Cleopatra's children
201,202,The Shadow Before
202,203,Myth: A Very Short Introduction
203,204,Mother Teresa
204,205,Friend or Foe
205,206,The Oxford Dictionary of Literary Quotations
206,207,The reality of God
207,208,The Watchmen
208,209,Watchmen
209,210,"A Feast for Crows (A Song of Ice and Fire, Book Four)"
210,211,Maisie Dobbs
211,212,The Book of the Rose
212,213,Guards! Guards
213,214,The Boys
214,215,Fracture
215,216,The Bone Collector
216,217,The Bone Collector (Lincoln Rhyme Novels)
217,218,Benediction
218,219,Blue Dahlia
219,220,The Adventures of Super Diaper Baby
220,221,Once upon a Potty: Hers
221,222,In Between the Sheets
222,223,Summer Rules
223,224,The Winthrop Woman
224,225,Carnival
225,226,"Family for the Sheriff (Family Matters) (Silhouette Romance, No. 1353)"
226,227,MONTANA BRIDE
227,228,In Thrall
228,229,POSSIBILITIES
229,230,Eye to Eye
230,231,Magic for Marigold
231,232,Firebird
232,233,Eye for Eye
233,234,Firebird & Trans Am Performance Portfolio 1993-2000
234,235,Extending the Table: A World Community Cookbook
235,236,Eleven Days
236,237,The Icarus Agenda [Paperback]
237,238,Good news for marriage
238,239,The Anatomy of Violence
239,240,An American Romantic
240,241,Benjamin Franklin: The Autobiography and Other Writings (Signet Classics)
241,242,Walking on air
242,243,Poison Pearls
243,244,Widow Basquiat: A Love Story
244,245,El Evangelio Secreto De LA Virgen Maria (Spanish Edition)
245,246,Westminster Dictionary of Theological Terms
246,247,The Scare Crow
247,248,WATERLESS MOUNTAIN
248,249,Oak Tree
249,250,Stillwater
250,251,Allegiance (Spanish Edition)
251,252,Simple French Food
252,253,Seduction Of The Minotaur
253,254,Evangelism
254,255,True Life Encounters Mysteries
255,256,Jim's Lion
256,257,Expectant & First Year Father (New Father Series)
257,258,Fire-Starter
258,259,The Evolution of Plants
259,260,Reverence: Renewing a Forgotten Virtue
260,261,Cimarron
261,262,Shiloh's Promise (Desire Ser.)
262,263,Dolly
263,264,The Poetic Edda (Oxford World's Classics)
264,265,Emma Tupper's Diary
265,266,Come Summer
266,267,The Thrill of It All
267,268,Half Past Human
268,269,Robert E. Lee
269,270,Tale of a tiger
270,271,Joy to the World
271,272,Parenting Children with ADHD: 10 Lessons That Medicine Cannot Teach (APA Lifetools)
272,273,"Autism Spectrum Disorders: The Complete Guide to Understanding Autism, Asperger's Syndrome, Pervasive Developmental Disorder, and Other ASDs"
273,274,Globalization Of World Politics
274,275,A gull on the roof
275,276,Toot & Puddle : Welcome to Woodcock Pocket Miniature Boxed Set
276,277,Dora Goes to School (Dora the Explorer)
277,278,Holy Homosexuals : The Truth About Being Gay or Lesbian and Christian
278,279,Patrick The Wolf Boy Volume 1
279,280,World Philosophy: A Text with Readings
280,281,Olinger Stories: A selection
281,282,The Green Hornet #3 (Volume 1)
282,283,Law 101: Everything You Need to Know about the American Legal System
283,284,Essentials of Young Adult Literature
284,285,UNIX (Visual QuickStart Guide)
285,286,Legends & Lairs: Portals & Planes (d20 Fantasy Roleplaying Supplement)
286,287,The Champion
287,288,Legends & lore of southern Illinois
288,289,The Legend
289,290,Legends & Lairs: Mythic Races - Character Race Compendium
290,291,Legends & Legacies: Celebrating a Century of Minnesota Coaches
291,292,Legend
292,293,"2176: Birth of the Belt Republic (Belt Republic, Book 1)"
293,294,Thief
294,295,The 5th Wave
295,296,Donkeys Still Talk: Hearing God's Voice When You're Not Listening (TH1NK LifeChange)
296,297,Super Snappy ABC: Pop Up Fun (This Is a Line Extension of the Bestselling Snappy Books)
297,298,Teach Me Even More Spanish: (Paperback and Audio Cassette in a brightly colored box) 21 Songs to Sing and A Story About Pen Pals
298,299,Prodigy
299,300,The Dressmaker
300,301,A Week in Winter
